Dependent,PDN?,PCDN?,Actual,Evidence,Reason
io :: crates :: web_push :: v_0_2_2,YES,NO,NO,,no invocation of said method
io :: crates :: webpki :: v_0_11_0,YES,YES,YES,0.11.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_12_0,YES,YES,YES,0.12.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_12_1,YES,YES,YES,0.12.1/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_13_0,YES,YES,YES,0.13.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_14_0,YES,YES,YES,0.14.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_15_0,YES,YES,YES,0.15.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_16_0,YES,YES,YES,0.16.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki :: v_0_17_0,YES,YES,YES,0.17.0/src/name.rs:241:            let mask = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki_roots :: v_0_10_0,YES,NO,NO,,no invocation of said method
io :: crates :: webpki_roots :: v_0_11_0,YES,NO,NO,,no invocation of said method
io :: crates :: webpki_roots :: v_0_12_0,YES,NO,NO,,no invocation of said method
io :: crates :: webpki_roots :: v_0_13_0,YES,NO,NO,,no invocation of said method
io :: crates :: webpki_roots :: v_0_9_0,YES,NO,YES,error: no matching version `^0.11` found for package `webpki` (required by `webpki-roots`),no callgraph but no call either
io :: crates :: zif_identity :: v_0_0_1,YES,NO,NO,,no invocation of said method
io :: crates :: tls_api_test :: v_0_1_10,YES,NO,NO,,imported only
io :: crates :: tls_api_test :: v_0_1_11,YES,NO,NO,,imported only
io :: crates :: tls_api_test :: v_0_1_12,YES,NO,NO,,imported only
io :: crates :: tls_api_test :: v_0_1_13,YES,NO,NO,,imported only
io :: crates :: sct :: v_0_3_0,YES,NO,NO,,does not invoke said method
io :: crates :: tls_api_test :: v_0_1_8,YES,NO,NO,,imported only
io :: crates :: ring :: v_0_13_0_alpha,YES,YES,YES,src/rsa/padding.rs:295:        let masked_db = em.skip_and_get_input(metrics.db_len)?;,
io :: crates :: tls_api_test :: v_0_1_9,YES,NO,NO,,imported only
io :: crates :: tls_api_test :: v_0_1_7,YES,NO,NO,,imported only
io :: crates :: libpijul_compat :: v_0_8_5,YES,NO,NO,,does not invoke said method
io :: crates :: libpijul_compat :: v_0_8_4,YES,NO,NO,,does not invoke said method
io :: crates :: libpijul_compat :: v_0_8_3,YES,NO,NO,,does not invoke said method
io :: crates :: webpki :: v_0_18_0_alpha,YES,YES,YES,src/name.rs:333:            let address = value.skip_and_get_input(constraint.len() / 2).unwrap();,
io :: crates :: webpki_roots :: v_0_14_0,YES,NO,NO,,only binary and not said method
io :: crates :: untrustended :: v_0_2_0,YES,YES,YES,0.2.0/src/lib.rs:369:        Ok(self.skip_and_get_input(num_bytes).map(,
io :: crates :: untrustended :: v_0_2_1,YES,YES,YES,0.2.0/src/lib.rs:369:        Ok(self.skip_and_get_input(num_bytes).map(,
io :: crates :: libpijul_compat :: v_0_8_6,YES,NO,NO,,does not invoke said method
io :: crates :: tls_api_test :: v_0_1_14,YES,NO,NO,,imported only
io :: crates :: rustls :: v_0_12_0,YES,NO,NO,,does not invoke said method
